,Event,Description,Lat,Lon
154,Blocked Shot,Gabriel Landeskog shot blocked shot by Luke Glendening,1.0,-71.0
155,Hit,Samuel Girard hit Dylan Larkin,-38.0,80.0
156,Missed Shot,Gustav Lindstrom Wide of Net,-20.0,46.0
157,Blocked Shot,Tyler Bertuzzi shot blocked shot by Erik Johnson,-5.0,66.0
158,Hit,Justin Abdelkader hit Nikita Zadorov,22.0,96.0
159,Blocked Shot,Tyson Jost shot blocked shot by Justin Abdelkader,0.0,-67.0
160,Takeaway,Takeaway by J.T. Compher,0.0,34.0
161,Shot,Anthony Mantha Wrist Shot saved by Michael Hutchinson,-22.0,41.0
163,Faceoff,Gabriel Landeskog faceoff won against Luke Glendening,-22.0,69.0
164,Blocked Shot,Samuel Girard shot blocked shot by Darren Helm,2.0,-39.0
165,Shot,Nathan MacKinnon Backhand saved by Jonathan Bernier,12.0,-76.0
166,Giveaway,Giveaway by Samuel Girard,32.0,60.0
167,Hit,Alex Biega hit Gabriel Landeskog,-38.0,42.0
168,Hit,Samuel Girard hit Dmytro Timashov,-27.0,93.0
169,Shot,Joonas Donskoi Wrist Shot saved by Jonathan Bernier,-18.0,-77.0
170,Missed Shot,Trevor Daley Wide of Net,-33.0,75.0
171,Hit,Matt Nieto hit Gustav Lindstrom,-36.0,83.0
172,Blocked Shot,Valtteri Filppula shot blocked shot by J.T. Compher,0.0,74.0
173,Shot,Jonathan Ericsson Slap Shot saved by Michael Hutchinson,17.0,39.0
175,Faceoff,Dylan Larkin faceoff won against Nathan MacKinnon,22.0,69.0
176,Shot,Ryan Graves Wrist Shot saved by Jonathan Bernier,-29.0,-37.0
178,Faceoff,Gabriel Landeskog faceoff won against Dylan Larkin,-22.0,-69.0
179,Missed Shot,Nathan MacKinnon Wide of Net,13.0,-38.0
180,Blocked Shot,Nikita Zadorov shot blocked shot by Dylan Larkin,-6.0,-72.0
181,Hit,Luke Glendening hit Mark Barberio,-33.0,91.0
182,Hit,Robby Fabbri hit Gabriel Landeskog,-23.0,30.0
183,Goal,"Logan O'Connor (2) Wrist Shot, assists: Gabriel Landeskog (16), Nathan MacKinnon (53)",-1.0,-73.0
184,Faceoff,Pierre-Edouard Bellemare faceoff won against Valtteri Filppula,0.0,0.0
186,Faceoff,Pierre-Edouard Bellemare faceoff won against Valtteri Filppula,22.0,-20.0
187,Shot,Mark Barberio Wrist Shot saved by Jonathan Bernier,13.0,-14.0
188,Hit,Robby Fabbri hit Mark Barberio,7.0,98.0
190,Faceoff,Frans Nielsen faceoff won against Tyson Jost,22.0,20.0
191,Hit,Justin Abdelkader hit Ian Cole,-17.0,95.0
192,Blocked Shot,J.T. Compher shot blocked shot by Alex Biega,-10.0,-73.0
193,Hit,Alex Biega hit Matt Nieto,-40.0,-21.0
194,Shot,Nathan MacKinnon Wrist Shot saved by Jonathan Bernier,-28.0,-59.0
196,Faceoff,Luke Glendening faceoff won against Gabriel Landeskog,-22.0,-69.0
197,Hit,Filip Hronek hit Vladislav Namestnikov,-32.0,-86.0
198,Missed Shot,Gabriel Landeskog Wide of Net,2.0,-36.0
199,Hit,Martin Kaut hit Filip Hronek,21.0,-96.0
200,Penalty,Filip Hronek Tripping against Tyson Jost,11.0,-79.0
201,Faceoff,Luke Glendening faceoff won against Tyson Jost,-22.0,-69.0
202,Penalty,Tyson Jost Interference against Frans Nielsen,1.0,-28.0
203,Faceoff,Dylan Larkin faceoff won against J.T. Compher,22.0,69.0
204,Shot,Anthony Mantha Backhand saved by Michael Hutchinson,-3.0,76.0
209,Faceoff,Gabriel Landeskog faceoff won against Dylan Larkin,0.0,0.0
210,Missed Shot,Samuel Girard Wide of Net,-1.0,40.0
211,Shot,Patrik Nemeth Wrist Shot saved by Michael Hutchinson,-28.0,-58.0
212,Blocked Shot,Gustav Lindstrom shot blocked shot by Erik Johnson,6.0,-72.0
213,Missed Shot,Trevor Daley Wide of Net,-30.0,-46.0
215,Faceoff,Frans Nielsen faceoff won against Pierre-Edouard Bellemare,22.0,20.0
216,Hit,Dmytro Timashov hit Joonas Donskoi,-38.0,-41.0
217,Hit,Mark Barberio hit Dmytro Timashov,-39.0,-77.0
218,Shot,Sam Gagner Tip-In saved by Michael Hutchinson,7.0,-78.0
219,Giveaway,Giveaway by Mark Barberio,-6.0,-78.0
220,Missed Shot,Luke Glendening Wide of Net,27.0,-49.0
221,Hit,Robby Fabbri hit Samuel Girard,-33.0,-85.0
222,Missed Shot,Ryan Graves Wide of Net,20.0,39.0
223,Takeaway,Takeaway by Dylan Larkin,3.0,-12.0
224,Missed Shot,Anthony Mantha Wide of Net,-5.0,-50.0
225,Giveaway,Giveaway by Gustav Lindstrom,1.0,65.0
227,Faceoff,Pierre-Edouard Bellemare faceoff won against Frans Nielsen,-22.0,-69.0
228,Shot,Vladislav Kamenev Wrist Shot saved by Jonathan Bernier,23.0,45.0
229,Hit,Dmytro Timashov hit Nikita Zadorov,16.0,-98.0
231,Faceoff,Pierre-Edouard Bellemare faceoff won against Valtteri Filppula,-22.0,-69.0
232,Shot,Sam Gagner Wrist Shot saved by Michael Hutchinson,-16.0,-41.0
233,Shot,Martin Kaut Backhand saved by Jonathan Bernier,7.0,60.0
234,Shot,Tyson Jost Wrist Shot saved by Jonathan Bernier,-16.0,72.0
235,Giveaway,Giveaway by Dmytro Timashov,29.0,90.0
236,Shot,Patrik Nemeth Backhand saved by Michael Hutchinson,5.0,60.0
237,Blocked Shot,Filip Hronek shot blocked shot by Erik Johnson,9.0,-76.0
238,Shot,Matt Nieto Wrist Shot saved by Jonathan Bernier,0.0,71.0
239,Penalty,Trevor Daley Holding against Matt Nieto,8.0,51.0
240,Faceoff,Luke Glendening faceoff won against J.T. Compher,-22.0,69.0
242,Hit,Patrik Nemeth hit J.T. Compher,-38.0,55.0
244,Faceoff,Valtteri Filppula faceoff won against J.T. Compher,-22.0,-69.0
245,Missed Shot,Tyson Jost Wide of Net,-2.0,68.0
246,Blocked Shot,Gabriel Landeskog shot blocked shot by Jonathan Ericsson,-11.0,69.0
247,Missed Shot,Frans Nielsen Wide of Net,-21.0,-58.0
248,Missed Shot,Anthony Mantha Wide of Net,-2.0,-48.0
249,Shot,Anthony Mantha Wrist Shot saved by Michael Hutchinson,-4.0,-76.0
250,Hit,Vladislav Namestnikov hit Patrik Nemeth,-9.0,97.0
251,Shot,Alex Biega Slap Shot saved by Michael Hutchinson,3.0,-38.0
252,Hit,Pierre-Edouard Bellemare hit Alex Biega,-40.0,16.0
254,Faceoff,Nathan MacKinnon faceoff won against Luke Glendening,-22.0,-20.0
256,Faceoff,Anthony Mantha faceoff won against Nathan MacKinnon,-22.0,-69.0
257,Missed Shot,Anthony Mantha Wide of Net,-6.0,-57.0
258,Hit,Tyler Bertuzzi hit Ian Cole,-6.0,-98.0
260,Faceoff,J.T. Compher faceoff won against Sam Gagner,22.0,-69.0
262,Faceoff,Frans Nielsen faceoff won against Tyson Jost,0.0,0.0
264,Faceoff,Frans Nielsen faceoff won against Tyson Jost,0.0,0.0
266,Faceoff,Nathan MacKinnon faceoff won against Dylan Larkin,0.0,0.0
267,Penalty,Too many men/ice served by Vladislav Kamenev,42.0,-12.0
269,Faceoff,J.T. Compher faceoff won against Anthony Mantha,-22.0,-69.0
270,Shot,Robby Fabbri Wrist Shot saved by Michael Hutchinson,-13.0,-74.0
271,Shot,Gustav Lindstrom Slap Shot saved by Michael Hutchinson,-22.0,-39.0
272,Blocked Shot,Robby Fabbri shot blocked shot by Vladislav Namestnikov,5.0,-67.0
273,Blocked Shot,Dennis Cholowski shot blocked shot by Ian Cole,18.0,-63.0
275,Faceoff,Gabriel Landeskog faceoff won against Luke Glendening,22.0,-69.0
276,Shot,Gabriel Landeskog Tip-In saved by Jonathan Bernier,-1.0,74.0
277,Missed Shot,Valeri Nichushkin Wide of Net,-9.0,80.0
278,Hit,Alex Biega hit Gabriel Landeskog,-33.0,90.0
279,Shot,Nathan MacKinnon Wrist Shot saved by Jonathan Bernier,0.0,45.0
281,Faceoff,Dylan Larkin faceoff won against J.T. Compher,-22.0,69.0
283,Faceoff,Dylan Larkin faceoff won against J.T. Compher,-22.0,69.0
284,Blocked Shot,Sam Gagner shot blocked shot by J.T. Compher,5.0,-77.0
285,Blocked Shot,Dylan Larkin shot blocked shot by Erik Johnson,-1.0,-60.0
286,Faceoff,Dylan Larkin faceoff won against Nathan MacKinnon,-22.0,-69.0
288,Missed Shot,Filip Hronek Wide of Net,20.0,-44.0
289,Blocked Shot,Dylan Larkin shot blocked shot by Erik Johnson,-3.0,-72.0
290,Takeaway,Takeaway by Nathan MacKinnon,37.0,-59.0
292,Faceoff,Dylan Larkin faceoff won against Nathan MacKinnon,-22.0,-69.0
