,Event,Description,Team,Lat,Lon
51,Giveaway,Giveaway by Joel Edmundson,St. Louis Blues,-24.0,-54.0
52,Blocked Shot,Alex Pietrangelo,St. Louis Blues,-9.0,60.0
53,Shot,Matt Grzelcyk Wrist Shot saved by Jordan Binnington,Boston Bruins,35.0,66.0
54,Blocked Shot,Joel Edmundson,St. Louis Blues,-1.0,69.0
55,Hit,Robby Fabbri hit Connor Clifton,St. Louis Blues,-2.0,-94.0
56,Goal,"Robert Bortuzzo (2) Wrist Shot, assists: Tyler Bozak (6), Carl Gunnarsson (1)",St. Louis Blues,33.0,-61.0
57,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
58,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,38.0,11.0
59,Giveaway,Giveaway by Alex Pietrangelo,St. Louis Blues,36.0,69.0
60,Goal,"Joakim Nordstrom (3) Backhand, assists: Sean Kuraly (5)",Boston Bruins,-6.0,76.0
61,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
62,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,12.0,-94.0
63,Shot,Zdeno Chara Wrist Shot saved by Jordan Binnington,Boston Bruins,27.0,37.0
65,Faceoff,David Krejci faceoff won against Oskar Sundqvist,Boston Bruins,22.0,69.0
66,Hit,Alexander Steen hit Matt Grzelcyk,St. Louis Blues,33.0,33.0
67,Hit,David Backes hit Ivan Barbashev,Boston Bruins,-37.0,-21.0
68,Shot,Oskar Sundqvist Wrist Shot saved by Tuukka Rask,St. Louis Blues,19.0,1.0
69,Blocked Shot,Colton Parayko,St. Louis Blues,-6.0,66.0
70,Giveaway,Giveaway by Joel Edmundson,St. Louis Blues,8.0,94.0
71,Giveaway,Giveaway by Tyler Bozak,St. Louis Blues,33.0,-20.0
72,Giveaway,Giveaway by Robby Fabbri,St. Louis Blues,-14.0,87.0
73,Blocked Shot,Pat Maroon,St. Louis Blues,14.0,64.0
74,Hit,Marcus Johansson hit Robby Fabbri,Boston Bruins,-36.0,2.0
76,Faceoff,Ryan O'Reilly faceoff won against David Backes,St. Louis Blues,22.0,69.0
77,Hit,Joel Edmundson hit David Backes,St. Louis Blues,-33.0,72.0
78,Blocked Shot,Joel Edmundson,St. Louis Blues,-9.0,66.0
79,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,22.0,30.0
80,Shot,Torey Krug Slap Shot saved by Jordan Binnington,Boston Bruins,-20.0,34.0
81,Hit,Brayden Schenn hit Brandon Carlo,St. Louis Blues,-34.0,-82.0
82,Missed Shot,David Pastrnak - Wide of Net,Boston Bruins,11.0,84.0
83,Shot,Jaden Schwartz Snap Shot saved by Tuukka Rask,St. Louis Blues,-13.0,-62.0
84,Blocked Shot,Zdeno Chara,Boston Bruins,-4.0,-76.0
85,Goal,"Vladimir Tarasenko (10) Wrist Shot, assists: Jaden Schwartz (6)",St. Louis Blues,-5.0,-84.0
86,Faceoff,Charlie Coyle faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
88,Faceoff,Ivan Barbashev faceoff won against Charlie Coyle,St. Louis Blues,-22.0,69.0
90,Faceoff,Charlie Coyle faceoff won against Tyler Bozak,Boston Bruins,22.0,20.0
91,Hit,Zdeno Chara hit Pat Maroon,Boston Bruins,35.0,36.0
92,Blocked Shot,Robert Bortuzzo,St. Louis Blues,14.0,60.0
94,Faceoff,Jaden Schwartz faceoff won against Noel Acciari,St. Louis Blues,-22.0,20.0
95,Hit,Noel Acciari hit Jay Bouwmeester,Boston Bruins,-38.0,14.0
96,Hit,Sammy Blais hit Torey Krug,St. Louis Blues,14.0,-94.0
97,Hit,Jay Bouwmeester hit David Pastrnak,St. Louis Blues,-34.0,-50.0
98,Penalty,Oskar Sundqvist Boarding against Matt Grzelcyk,St. Louis Blues,-18.0,-93.0
99,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
100,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,-18.0,51.0
101,Hit,Ivan Barbashev hit Brad Marchand,St. Louis Blues,18.0,97.0
102,Takeaway,Takeaway by Tyler Bozak,St. Louis Blues,12.0,28.0
103,Hit,Tyler Bozak hit Brad Marchand,St. Louis Blues,-33.0,-53.0
104,Hit,Colton Parayko hit Jake DeBrusk,St. Louis Blues,15.0,97.0
105,Shot,Charlie Coyle Wrist Shot saved by Jordan Binnington,Boston Bruins,-8.0,83.0
106,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,30.0,48.0
111,Faceoff,Noel Acciari faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
112,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,39.0,-10.0
114,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
115,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,30.0,46.0
116,Giveaway,Giveaway by Noel Acciari,Boston Bruins,35.0,-20.0
117,Hit,Jaden Schwartz hit Zdeno Chara,St. Louis Blues,-31.0,76.0
118,Giveaway,Giveaway by Vladimir Tarasenko,St. Louis Blues,1.0,42.0
120,Faceoff,Sean Kuraly faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
121,Hit,Colton Parayko hit Sean Kuraly,St. Louis Blues,11.0,-95.0
122,Hit,Sean Kuraly hit Jay Bouwmeester,Boston Bruins,38.0,-76.0
123,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,-24.0,42.0
125,Faceoff,Oskar Sundqvist faceoff won against Charlie Coyle,St. Louis Blues,-22.0,69.0
126,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,-33.0,59.0
127,Hit,Robby Fabbri hit Torey Krug,St. Louis Blues,-16.0,95.0
128,Giveaway,Giveaway by Tyler Bozak,St. Louis Blues,23.0,87.0
129,Giveaway,Giveaway by Brad Marchand,Boston Bruins,-25.0,-42.0
130,Blocked Shot,Patrice Bergeron,Boston Bruins,-7.0,70.0
132,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,-22.0,69.0
133,Shot,Jaden Schwartz Wrist Shot saved by Tuukka Rask,St. Louis Blues,-8.0,84.0
135,Faceoff,Sean Kuraly faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
137,Faceoff,Sean Kuraly faceoff won against Oskar Sundqvist,Boston Bruins,-22.0,69.0
138,Shot,Alex Pietrangelo Slap Shot saved by Tuukka Rask,St. Louis Blues,7.0,32.0
139,Penalty,Connor Clifton Interference against Joel Edmundson,Boston Bruins,-1.0,67.0
140,Faceoff,Tyler Bozak faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
141,Hit,Zdeno Chara hit Tyler Bozak,Boston Bruins,-23.0,95.0
142,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,7.0,76.0
144,Faceoff,Noel Acciari faceoff won against Oskar Sundqvist,Boston Bruins,22.0,69.0
145,Hit,Oskar Sundqvist hit Brandon Carlo,St. Louis Blues,38.0,58.0
146,Giveaway,Giveaway by Oskar Sundqvist,St. Louis Blues,2.0,94.0
147,Missed Shot,Ryan O'Reilly - Wide of Net,St. Louis Blues,16.0,72.0
148,Hit,Connor Clifton hit Ryan O'Reilly,Boston Bruins,27.0,34.0
149,Giveaway,Giveaway by Robert Bortuzzo,St. Louis Blues,-23.0,-61.0
150,Blocked Shot,Carl Gunnarsson,St. Louis Blues,8.0,-69.0
151,Shot,Danton Heinen Backhand saved by Jordan Binnington,Boston Bruins,2.0,-70.0
152,Shot,Marcus Johansson Backhand saved by Jordan Binnington,Boston Bruins,7.0,-79.0
154,Faceoff,Ivan Barbashev faceoff won against Jake DeBrusk,St. Louis Blues,22.0,-69.0
155,Takeaway,Takeaway by David Pastrnak,Boston Bruins,23.0,-90.0
156,Blocked Shot,Colton Parayko,St. Louis Blues,-5.0,-68.0
157,Blocked Shot,Jay Bouwmeester,St. Louis Blues,10.0,-73.0
158,Hit,Connor Clifton hit Oskar Sundqvist,Boston Bruins,-7.0,-2.0
159,Hit,Jay Bouwmeester hit Jake DeBrusk,St. Louis Blues,38.0,-7.0
160,Giveaway,Giveaway by Joel Edmundson,St. Louis Blues,18.0,-95.0
161,Hit,Joel Edmundson hit Marcus Johansson,St. Louis Blues,8.0,-96.0
162,Hit,Brayden Schenn hit Danton Heinen,St. Louis Blues,32.0,-87.0
163,Takeaway,Takeaway by Alex Pietrangelo,St. Louis Blues,-21.0,-75.0
164,Blocked Shot,Zdeno Chara,Boston Bruins,-13.0,60.0
165,Shot,David Perron Snap Shot saved by Tuukka Rask,St. Louis Blues,4.0,48.0
166,Hit,Jay Bouwmeester hit David Backes,St. Louis Blues,38.0,41.0
167,Hit,David Backes hit Sammy Blais,Boston Bruins,37.0,7.0
169,Takeaway,Takeaway by Brad Marchand,Boston Bruins,-20.0,8.0
170,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,-22.0,20.0
171,Giveaway,Giveaway by Ivan Barbashev,St. Louis Blues,-10.0,23.0
172,Blocked Shot,Robert Bortuzzo,St. Louis Blues,13.0,-77.0
173,Hit,Joakim Nordstrom hit Robert Bortuzzo,Boston Bruins,-32.0,-92.0
174,Shot,Charlie McAvoy Wrist Shot saved by Jordan Binnington,Boston Bruins,34.0,-40.0
175,Shot,Joakim Nordstrom Backhand saved by Jordan Binnington,Boston Bruins,11.0,-80.0
177,Faceoff,Brayden Schenn faceoff won against Charlie Coyle,St. Louis Blues,22.0,-69.0
178,Hit,Jay Bouwmeester hit Marcus Johansson,St. Louis Blues,36.0,-79.0
179,Hit,Brayden Schenn hit Charlie Coyle,St. Louis Blues,-34.0,-67.0
180,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,33.0,-45.0
181,Hit,Joakim Nordstrom hit Sammy Blais,Boston Bruins,-36.0,-51.0
182,Hit,Noel Acciari hit David Perron,Boston Bruins,-40.0,-51.0
183,Hit,Ryan O'Reilly hit Torey Krug,St. Louis Blues,18.0,96.0
185,Faceoff,Ivan Barbashev faceoff won against Jake DeBrusk,St. Louis Blues,22.0,-20.0
186,Missed Shot,Alex Pietrangelo - Over Net,St. Louis Blues,-32.0,-22.0
187,Blocked Shot,David Krejci,Boston Bruins,3.0,70.0
188,Shot,Alexander Steen Snap Shot saved by Tuukka Rask,St. Louis Blues,17.0,71.0
189,Penalty,Joel Edmundson Tripping against Jake DeBrusk,St. Louis Blues,-28.0,-34.0
190,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
191,Shot,Ryan O'Reilly Wrist Shot saved by Tuukka Rask,St. Louis Blues,3.0,66.0
192,Missed Shot,Patrice Bergeron - Wide of Net,Boston Bruins,20.0,-44.0
193,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,-2.0,-40.0
194,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,1.0,-53.0
195,Giveaway,Giveaway by Brad Marchand,Boston Bruins,36.0,-61.0
196,Shot,Oskar Sundqvist Backhand saved by Tuukka Rask,St. Louis Blues,25.0,82.0
198,Faceoff,Jaden Schwartz faceoff won against Charlie Coyle,St. Louis Blues,22.0,69.0
199,Hit,Connor Clifton hit Brayden Schenn,Boston Bruins,-34.0,79.0
200,Blocked Shot,Joakim Nordstrom,Boston Bruins,8.0,58.0
201,Hit,Robert Bortuzzo hit Noel Acciari,St. Louis Blues,36.0,78.0
202,Missed Shot,Brandon Carlo - Wide of Net,Boston Bruins,-7.0,-79.0
204,Faceoff,David Krejci faceoff won against Tyler Bozak,Boston Bruins,22.0,-20.0
205,Penalty,Connor Clifton Hi stick - double minor against Tyler Bozak,Boston Bruins,-5.0,82.0
206,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
207,Takeaway,Takeaway by Colton Parayko,St. Louis Blues,-16.0,30.0
209,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
211,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,-22.0,20.0
212,Blocked Shot,Joakim Nordstrom,Boston Bruins,-1.0,55.0
213,Blocked Shot,Joakim Nordstrom,Boston Bruins,-2.0,55.0
214,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,9.0,36.0
215,Missed Shot,Pat Maroon - Wide of Net,St. Louis Blues,-3.0,76.0
216,Blocked Shot,Joakim Nordstrom,Boston Bruins,18.0,64.0
217,Shot,Pat Maroon Wrist Shot saved by Tuukka Rask,St. Louis Blues,-4.0,82.0
219,Faceoff,Oskar Sundqvist faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
220,Shot,Alexander Steen Wrist Shot saved by Tuukka Rask,St. Louis Blues,-5.0,81.0
221,Penalty,Jaden Schwartz Interference - Goalkeeper against Tuukka Rask,St. Louis Blues,-1.0,83.0
222,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,-22.0,-69.0
223,Hit,Vladimir Tarasenko hit David Krejci,St. Louis Blues,35.0,-22.0
225,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,-22.0,-20.0
226,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,30.0,-39.0
227,Giveaway,Giveaway by Brandon Carlo,Boston Bruins,33.0,71.0
228,Hit,Brayden Schenn hit David Pastrnak,St. Louis Blues,19.0,93.0
229,Missed Shot,Oskar Sundqvist - Wide of Net,St. Louis Blues,25.0,59.0
230,Hit,Charlie McAvoy hit Oskar Sundqvist,Boston Bruins,-37.0,7.0
231,Missed Shot,Charlie McAvoy - Wide of Net,Boston Bruins,-9.0,-39.0
232,Shot,Connor Clifton Snap Shot saved by Jordan Binnington,Boston Bruins,-8.0,-39.0
234,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,22.0,-69.0
239,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
240,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,33.0,-61.0
241,Shot,Joakim Nordstrom Slap Shot saved by Jordan Binnington,Boston Bruins,29.0,56.0
242,Takeaway,Takeaway by David Pastrnak,Boston Bruins,19.0,-5.0
244,Faceoff,David Backes faceoff won against Ryan O'Reilly,Boston Bruins,22.0,20.0
245,Giveaway,Giveaway by Sammy Blais,St. Louis Blues,39.0,12.0
246,Hit,David Krejci hit David Perron,Boston Bruins,37.0,83.0
247,Hit,David Backes hit Alex Pietrangelo,Boston Bruins,-37.0,81.0
248,Giveaway,Giveaway by Carl Gunnarsson,St. Louis Blues,36.0,-35.0
249,Hit,Charlie McAvoy hit Robby Fabbri,Boston Bruins,-36.0,-81.0
250,Giveaway,Giveaway by Sean Kuraly,Boston Bruins,-29.0,-27.0
251,Hit,Brayden Schenn hit Connor Clifton,St. Louis Blues,-37.0,-84.0
252,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,-13.0,-86.0
254,Faceoff,Noel Acciari faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
255,Hit,Zdeno Chara hit Brayden Schenn,Boston Bruins,33.0,-54.0
256,Shot,Patrice Bergeron Snap Shot saved by Jordan Binnington,Boston Bruins,-17.0,50.0
258,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
259,Hit,David Perron hit Torey Krug,St. Louis Blues,37.0,29.0
260,Hit,Connor Clifton hit Sammy Blais,Boston Bruins,-29.0,-90.0
261,Blocked Shot,Tyler Bozak,St. Louis Blues,-8.0,76.0
262,Takeaway,Takeaway by Brad Marchand,Boston Bruins,38.0,8.0
263,Giveaway,Giveaway by Brad Marchand,Boston Bruins,25.0,14.0
264,Shot,Patrice Bergeron Backhand saved by Jordan Binnington,Boston Bruins,34.0,12.0
265,Hit,Brayden Schenn hit Danton Heinen,St. Louis Blues,0.0,96.0
266,Giveaway,Giveaway by Brad Marchand,Boston Bruins,-7.0,92.0
267,Hit,Connor Clifton hit Jaden Schwartz,Boston Bruins,-38.0,-31.0
268,Missed Shot,Robert Bortuzzo - Wide of Net,St. Louis Blues,18.0,-45.0
269,Blocked Shot,Connor Clifton,Boston Bruins,5.0,-76.0
271,Faceoff,David Krejci faceoff won against Ivan Barbashev,Boston Bruins,-22.0,-20.0
273,Faceoff,David Krejci faceoff won against Brayden Schenn,Boston Bruins,22.0,-69.0
274,Hit,David Backes hit Alex Pietrangelo,Boston Bruins,38.0,66.0
276,Faceoff,Charlie Coyle faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
277,Blocked Shot,Robert Bortuzzo,St. Louis Blues,11.0,66.0
278,Hit,Sammy Blais hit Brandon Carlo,St. Louis Blues,30.0,-92.0
279,Shot,David Perron Snap Shot saved by Tuukka Rask,St. Louis Blues,16.0,-61.0
281,Faceoff,Patrice Bergeron faceoff won against Tyler Bozak,Boston Bruins,22.0,-69.0
282,Hit,Charlie McAvoy hit Tyler Bozak,Boston Bruins,25.0,-90.0
283,Blocked Shot,Connor Clifton,Boston Bruins,7.0,-72.0
284,Hit,Ivan Barbashev hit Brandon Carlo,St. Louis Blues,-7.0,-96.0
285,Hit,Alex Pietrangelo hit Joakim Nordstrom,St. Louis Blues,-27.0,98.0
287,Faceoff,Brayden Schenn faceoff won against Marcus Johansson,St. Louis Blues,22.0,69.0
288,Giveaway,Giveaway by Zdeno Chara,Boston Bruins,40.0,-15.0
289,Takeaway,Takeaway by Vladimir Tarasenko,St. Louis Blues,32.0,-18.0
290,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-1.0,-69.0
291,Shot,Jaden Schwartz Backhand saved by Tuukka Rask,St. Louis Blues,-3.0,-76.0
292,Hit,Colton Parayko hit Danton Heinen,St. Louis Blues,40.0,63.0
293,Blocked Shot,Connor Clifton,Boston Bruins,-7.0,-67.0
294,Hit,Patrice Bergeron hit Alex Pietrangelo,Boston Bruins,40.0,-21.0
295,Missed Shot,Pat Maroon - Wide of Net,St. Louis Blues,-10.0,-64.0
296,Hit,Tyler Bozak hit Jake DeBrusk,St. Louis Blues,38.0,-67.0
297,Shot,Jay Bouwmeester Wrist Shot saved by Tuukka Rask,St. Louis Blues,-27.0,-83.0
299,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,-22.0,-69.0
300,Shot,Jaden Schwartz Tip-In saved by Tuukka Rask,St. Louis Blues,3.0,-80.0
301,Hit,Sean Kuraly hit Jaden Schwartz,Boston Bruins,-12.0,-90.0
302,Hit,Colton Parayko hit Joakim Nordstrom,St. Louis Blues,2.0,97.0
303,Penalty,Brayden Schenn Slashing against Noel Acciari,St. Louis Blues,4.0,63.0
304,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
305,Giveaway,Giveaway by Robert Bortuzzo,St. Louis Blues,34.0,41.0
306,Shot,Jake DeBrusk Backhand saved by Jordan Binnington,Boston Bruins,-3.0,81.0
307,Giveaway,Giveaway by Jay Bouwmeester,St. Louis Blues,8.0,96.0
308,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,31.0,41.0
309,Shot,Charlie Coyle Wrist Shot saved by Jordan Binnington,Boston Bruins,-9.0,59.0
310,Missed Shot,Connor Clifton - Wide of Net,Boston Bruins,-33.0,76.0
311,Takeaway,Takeaway by Charlie McAvoy,Boston Bruins,23.0,-81.0
312,Shot,Jaden Schwartz Wrist Shot saved by Tuukka Rask,St. Louis Blues,27.0,-47.0
313,Hit,Sean Kuraly hit Jaden Schwartz,Boston Bruins,-35.0,-52.0
314,Shot,Pat Maroon Wrist Shot saved by Tuukka Rask,St. Louis Blues,-12.0,-69.0
315,Blocked Shot,Joakim Nordstrom,Boston Bruins,18.0,-58.0
316,Hit,Ryan O'Reilly hit Brandon Carlo,St. Louis Blues,-28.0,-91.0
317,Hit,Jay Bouwmeester hit Danton Heinen,St. Louis Blues,-27.0,89.0
318,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,1.0,73.0
320,Faceoff,Ryan O'Reilly faceoff won against Marcus Johansson,St. Louis Blues,22.0,69.0
321,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,21.0,45.0
322,Missed Shot,Carl Gunnarsson - Goalpost,St. Louis Blues,-8.0,-45.0
323,Hit,Ivan Barbashev hit Zdeno Chara,St. Louis Blues,30.0,-92.0
324,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,26.0,72.0
325,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,1.0,56.0
327,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
328,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,0.0,68.0
329,Hit,Torey Krug hit Tyler Bozak,Boston Bruins,38.0,-62.0
330,Blocked Shot,Torey Krug,Boston Bruins,7.0,-72.0
332,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,-22.0,-69.0
334,Faceoff,Sean Kuraly faceoff won against Tyler Bozak,Boston Bruins,22.0,-69.0
335,Blocked Shot,Sean Kuraly,Boston Bruins,21.0,-56.0
340,Faceoff,Noel Acciari faceoff won against Brayden Schenn,Boston Bruins,0.0,0.0
341,Hit,Alex Pietrangelo hit Joakim Nordstrom,St. Louis Blues,17.0,-94.0
342,Hit,Vladimir Tarasenko hit Joakim Nordstrom,St. Louis Blues,-37.0,17.0
343,Shot,Colton Parayko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-31.0,43.0
344,Takeaway,Takeaway by Ivan Barbashev,St. Louis Blues,-25.0,85.0
345,Missed Shot,Ryan O'Reilly - Wide of Net,St. Louis Blues,-3.0,78.0
346,Missed Shot,Joel Edmundson - Wide of Net,St. Louis Blues,2.0,51.0
347,Shot,Sammy Blais Wrist Shot saved by Tuukka Rask,St. Louis Blues,-9.0,72.0
348,Hit,Sammy Blais hit David Backes,St. Louis Blues,-24.0,67.0
349,Blocked Shot,David Krejci,Boston Bruins,7.0,68.0
350,Hit,Robby Fabbri hit Connor Clifton,St. Louis Blues,-20.0,94.0
351,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,15.0,17.0
352,Blocked Shot,Charlie Coyle,Boston Bruins,-11.0,49.0
353,Hit,Jaden Schwartz hit Brandon Carlo,St. Louis Blues,36.0,36.0
354,Shot,Alexander Steen Wrist Shot saved by Tuukka Rask,St. Louis Blues,6.0,72.0
355,Goal,"Carl Gunnarsson (1) Slap Shot, assists: Ryan O'Reilly (12), Oskar Sundqvist (5)",St. Louis Blues,-9.0,32.0
,Event,Description,Team,Lat,Lon
3,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
5,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,-22.0,-69.0
6,Hit,Charlie McAvoy hit Jaden Schwartz,Boston Bruins,39.0,21.0
7,Hit,David Pastrnak hit Colton Parayko,Boston Bruins,22.0,-96.0
8,Hit,Sammy Blais hit David Backes,St. Louis Blues,-38.0,-90.0
9,Missed Shot,Brandon Carlo - Over Net,Boston Bruins,26.0,-39.0
10,Penalty,Jake DeBrusk Kneeing against Alex Pietrangelo,Boston Bruins,38.0,-23.0
11,Faceoff,Brad Marchand faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
12,Takeaway,Takeaway by Tyler Bozak,St. Louis Blues,-40.0,90.0
13,Blocked Shot,Brandon Carlo,Boston Bruins,5.0,75.0
14,Shot,Pat Maroon Wrist Shot saved by Tuukka Rask,St. Louis Blues,-1.0,78.0
15,Shot,Tyler Bozak Tip-In saved by Tuukka Rask,St. Louis Blues,7.0,80.0
17,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
18,Giveaway,Giveaway by Jaden Schwartz,St. Louis Blues,39.0,90.0
19,Shot,David Perron Backhand saved by Tuukka Rask,St. Louis Blues,-12.0,75.0
21,Faceoff,Sean Kuraly faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
23,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,20.0
24,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,14.0,76.0
26,Faceoff,Charlie Coyle faceoff won against Pat Maroon,Boston Bruins,22.0,69.0
27,Takeaway,Takeaway by Vladimir Tarasenko,St. Louis Blues,-35.0,74.0
28,Giveaway,Giveaway by Alex Pietrangelo,St. Louis Blues,-4.0,-95.0
29,Missed Shot,David Pastrnak - Wide of Net,Boston Bruins,-30.0,-73.0
30,Hit,Patrice Bergeron hit Colton Parayko,Boston Bruins,34.0,-95.0
31,Hit,Charlie McAvoy hit Sammy Blais,Boston Bruins,41.0,29.0
32,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,-26.0,81.0
33,Hit,John Moore hit David Perron,Boston Bruins,-16.0,97.0
34,Hit,Noel Acciari hit Pat Maroon,Boston Bruins,-32.0,5.0
35,Hit,Robby Fabbri hit Torey Krug,St. Louis Blues,-40.0,76.0
37,Faceoff,Charlie Coyle faceoff won against Ivan Barbashev,Boston Bruins,-22.0,20.0
38,Shot,Torey Krug Slap Shot saved by Jordan Binnington,Boston Bruins,-25.0,-38.0
39,Shot,Charlie Coyle Wrist Shot saved by Jordan Binnington,Boston Bruins,-5.0,-80.0
40,Missed Shot,Marcus Johansson - Wide of Net,Boston Bruins,5.0,-74.0
41,Takeaway,Takeaway by Brad Marchand,Boston Bruins,26.0,-97.0
42,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,23.0,-60.0
43,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,12.0,-81.0
44,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-13.0,78.0
45,Hit,Brayden Schenn hit Torey Krug,St. Louis Blues,-41.0,65.0
46,Blocked Shot,Brandon Carlo,Boston Bruins,-11.0,75.0
47,Takeaway,Takeaway by Noel Acciari,Boston Bruins,2.0,49.0
48,Hit,Carl Gunnarsson hit Noel Acciari,St. Louis Blues,39.0,-43.0
49,Hit,Noel Acciari hit Carl Gunnarsson,Boston Bruins,39.0,-39.0
50,Hit,Tyler Bozak hit John Moore,St. Louis Blues,-24.0,97.0
51,Shot,Danton Heinen Tip-In saved by Jordan Binnington,Boston Bruins,-8.0,-68.0
53,Faceoff,Patrice Bergeron faceoff won against Jaden Schwartz,Boston Bruins,-22.0,-69.0
54,Missed Shot,David Pastrnak - Wide of Net,Boston Bruins,36.0,-59.0
55,Giveaway,Giveaway by Vladimir Tarasenko,St. Louis Blues,-24.0,-63.0
56,Hit,Zdeno Chara hit Vladimir Tarasenko,Boston Bruins,-41.0,-61.0
57,Giveaway,Giveaway by Brayden Schenn,St. Louis Blues,-5.0,-97.0
58,Shot,David Pastrnak Slap Shot saved by Jordan Binnington,Boston Bruins,-27.0,-70.0
59,Shot,David Krejci Backhand saved by Jordan Binnington,Boston Bruins,1.0,-81.0
61,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
63,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,22.0,-69.0
64,Shot,Brandon Carlo Wrist Shot saved by Jordan Binnington,Boston Bruins,5.0,-36.0
66,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,22.0,-69.0
67,Blocked Shot,Brandon Carlo,Boston Bruins,9.0,65.0
